Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),CORE_ZN:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_1:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_2:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_3:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_4:Zone People Occupant Count [](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),CORE_ZN:Zone Air Relative Humidity [%](TimeStep),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Air Relative Humidity [%](TimeStep),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](TimeStep),CORE_ZN:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),Electricity:Facility [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 12/21  00:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.031803522622955,0.015270711787901405,19.171370268663278,0.0007938213216910236,19.147455736289817,0.0007938213216910243,19.208813017714753,0.0007938213216910251,19.13482455676479,0.0007938213216910257,-21.71140850370768,0.0005507251055504644,95.11550206205413,21.11,29.44,5.676825627053753,21.11,29.44,5.685296190895618,21.11,29.44,5.663591577180012,21.11,29.44,5.689776028434306,21.11,29.44,100.0,0.0,0.0,-0.2542960852903743,6.342374865995112,-1.1516506347248863,32.919412301443145,-1.1530530295525723,32.98592957984185,-1.1400945159584257,32.37366516663579,-1.1574036883958565,33.192679545565255,1280205.3294977788,514035.3294977787,0.0 
 12/21  00:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.099086476505775,0.015270901094376973,20.76756470573988,0.0007938213216910236,20.69368513492066,0.0007938213216910244,20.811765947181268,0.0007938213216910251,20.621789963494354,0.0007938213216910257,-21.71125806907962,0.0005507331345494787,94.72428411867067,21.11,29.44,5.142261670771105,21.11,29.44,5.165715696109436,21.11,29.44,5.1282864580231635,21.11,29.44,5.188655295889385,21.11,29.44,100.0,0.0,0.0,-0.24076623646103648,6.202996535638761,-0.9645450875269075,24.650862756434663,-0.9720911126603338,24.95940783724849,-0.9520772176619536,24.14594449734868,-0.9840050782044687,25.451043210493808,2266397.8413163545,1500227.8413163545,0.0 
 12/21  00:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.417024441881075,0.01527091929258643,21.060494469868416,0.0007938213216910236,21.03722841450584,0.0007938213216910243,21.071975874844732,0.0007938213216910251,21.00925726243595,0.0007938213216910257,-21.711404700885232,0.0005507253101096155,98.78788957354655,21.11,29.44,5.05043880795349,21.11,29.44,5.057664234923888,21.11,29.44,5.046877612908462,21.11,29.44,5.066366024520079,21.11,29.44,100.0,0.0,0.0,-0.32954013767169416,7.258296931593222,-0.9092432069329717,22.458202561025516,-0.9113000536351823,22.537565761740808,-0.9005545167229453,22.124839983480726,-0.9181664795107123,22.803742000465434,1977362.511818576,1211192.5118185757,0.0 
 12/21  01:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.004089110380335,0.015270901951185453,19.17139070816034,0.0007938213216910236,19.147330522480814,0.0007938213216910244,19.2088418159717,0.000793821321691025,19.134673632233874,0.0007938213216910257,-21.71133016488917,0.0005507292990269737,95.27881224436167,21.11,29.44,5.676818201781408,21.11,29.44,5.685340479419457,21.11,29.44,5.663581478344726,21.11,29.44,5.689829492496597,21.11,29.44,100.0,0.0,0.0,-0.2590163969447608,6.392812286476001,-1.1516344132248892,32.91864325858039,-1.1530797767177592,32.987198831740045,-1.1400760926566684,32.37279851469354,-1.157437464709967,33.19428696524281,1280205.3294977788,514035.3294977787,0.0 
 12/21  01:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.09519580353284,0.015270891060450166,20.767832228034553,0.0007938213216910235,20.693854465427666,0.0007938213216910243,20.812001335723707,0.0007938213216910247,20.621995524515984,0.0007938213216910257,-21.711211367963955,0.0005507356404374346,94.74685900562719,21.11,29.44,5.142176814267385,21.11,29.44,5.165661667481146,21.11,29.44,5.128212096818876,21.11,29.44,5.188589710528058,21.11,29.44,100.0,0.0,0.0,-0.24163592294175035,6.211724341060204,-0.9645490259203029,24.651023212785958,-0.9721211929307525,24.960642200959867,-0.9520842143992819,24.146226137212622,-0.9840341107088557,25.452247934774718,2266397.8413163545,1500227.8413163545,0.0 
 12/21  01:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.410026890848513,0.015270887282964248,21.06053515548554,0.0007938213216910234,21.037261253271616,0.0007938213216910244,21.072007357918178,0.0007938213216910247,21.009304533684507,0.0007938213216910257,-21.711391677694596,0.0005507259749273309,98.83037779637333,21.11,29.44,5.050426379233808,21.11,29.44,5.057653860978883,21.11,29.44,5.046867855231499,21.11,29.44,5.066351175909736,21.11,29.44,100.0,0.0,0.0,-0.330627223766779,7.273284769734445,-0.9092904634547848,22.460024029772626,-0.9113560505805368,22.539728787327434,-0.9006022338650725,22.12666240571147,-0.9182234557876038,22.805958623145045,1977362.511818576,1211192.5118185757,0.0 
 12/21  01:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.00291695499163,0.01527088696123276,19.17096757146304,0.0007938213216910235,19.146883618249174,0.0007938213216910244,19.20843085971361,0.0007938213216910248,19.134202414360452,0.0007938213216910257,-21.71133233736473,0.0005507291456065851,95.2855853607824,21.11,29.44,5.676968059392353,21.11,29.44,5.685499042276521,21.11,29.44,5.663726566889004,21.11,29.44,5.689996655929661,21.11,29.44,100.0,0.0,0.0,-0.2593542088996337,6.396457814659698,-1.1517486806228454,32.92406072252331,-1.1532021582541947,32.99300657518587,-1.1401878890884207,32.37805770678773,-1.1575658875737707,33.2003989530769,1280205.3294977788,514035.3294977787,0.0 
 12/21  02:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.095033322409407,0.015270887327246704,20.76774051104759,0.0007938213216910236,20.693756080589743,0.0007938213216910244,20.811922468333492,0.000793821321691025,20.621872947066507,0.0007938213216910257,-21.71121844762813,0.0005507352824527975,94.74778546306337,21.11,29.44,5.142205804212455,21.11,29.44,5.165693234692357,21.11,29.44,5.12823708445663,21.11,29.44,5.188628756584332,21.11,29.44,100.0,0.0,0.0,-0.2417808281449483,6.21318163557325,-0.9646293645915741,24.654296468888177,-0.9722067195013268,24.964152031905343,-0.9521617399502842,24.149346904351503,-0.9841261887778104,25.45606899359781,2266397.8413163545,1500227.8413163545,0.0 
 12/21  02:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.410075082894245,0.015270887618661301,21.06052396306849,0.0007938213216910236,21.03724728841967,0.0007938213216910244,21.071998927823472,0.000793821321691025,21.009283695872703,0.0007938213216910257,-21.711401767225617,0.0005507254635290209,98.83008892167041,21.11,29.44,5.050429930293032,21.11,29.44,5.057658306952372,21.11,29.44,5.046870516414042,21.11,29.44,5.066357709292242,21.11,29.44,100.0,0.0,0.0,-0.33071616871264614,7.2745132877512475,-0.9093544890774823,22.462491995506284,-0.9114245866757786,22.542376342048215,-0.9006645926965176,22.12904416555334,-0.9182963259918541,22.808793778366905,1977362.511818576,1211192.5118185757,0.0 
 12/21  02:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.002945247905764,0.015270887708940336,19.170586908226298,0.0007938213216910238,19.146467978934727,0.0007938213216910244,19.208056944791704,0.0007938213216910248,19.133767225698126,0.0007938213216910258,-21.711345170048016,0.0005507284807853539,95.2854223471641,21.11,29.44,5.677102732526034,21.11,29.44,5.685646452718001,21.11,29.44,5.663858530400087,21.11,29.44,5.6901509655375815,21.11,29.44,100.0,0.0,0.0,-0.259430005586453,6.397276441043232,-1.1518581188143566,32.929249617653156,-1.1533202415195654,32.99861078612125,-1.1402953060466912,32.383111255252686,-1.1576896939348322,33.20629171657137,1280205.3294977788,514035.3294977787,0.0 
