Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.409315E+03,2.921422E-01,3.075946E+03,2.503581E+03,1.806517E-01,5.687134E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.068352E+03,1.938040E-01,2.023704E+03,1.435983E+03,1.105127E-01,3.437239E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.337601E+02,1.231216E-01,1.291364E+03,9.379219E+02,1.769585E-01,5.617027E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.068352E+03,1.877802E-01,1.956580E+03,1.365332E+03,1.105127E-01,3.437239E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.337601E+02,1.375158E-01,1.451762E+03,1.104895E+03
00:30:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.426265E+03,2.912050E-01,3.048553E+03,2.475293E+03,1.806350E-01,5.686818E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.081201E+03,1.915690E-01,1.985950E+03,1.396628E+03,1.105037E-01,3.437070E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.413825E+02,1.215743E-01,1.266500E+03,9.120859E+02,1.769418E-01,5.616709E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.081201E+03,1.856540E-01,1.920038E+03,1.327213E+03,1.105037E-01,3.437070E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.413825E+02,1.353926E-01,1.420481E+03,1.072480E+03
00:45:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.443215E+03,2.903005E-01,3.021524E+03,2.447384E+03,1.806185E-01,5.686505E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.094051E+03,1.893963E-01,1.948891E+03,1.357988E+03,1.104949E-01,3.436902E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.490049E+02,1.200681E-01,1.242093E+03,8.867196E+02,1.769252E-01,5.616394E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.094051E+03,1.835926E-01,1.884218E+03,1.289837E+03,1.104949E-01,3.436902E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.490049E+02,1.333591E-01,1.390199E+03,1.041088E+03
01:00:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.460166E+03,2.894245E-01,2.994813E+03,2.419804E+03,1.806022E-01,5.686195E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.106900E+03,1.872819E-01,1.912480E+03,1.320013E+03,1.104861E-01,3.436736E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.566273E+02,1.186007E-01,1.218119E+03,8.617958E+02,1.769088E-01,5.616083E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.106900E+03,1.815910E-01,1.849065E+03,1.253148E+03,1.104861E-01,3.436736E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.566273E+02,1.314062E-01,1.360815E+03,1.010617E+03
01:15:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.471466E+03,2.885739E-01,2.974035E+03,2.398267E+03,1.805861E-01,5.685888E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.115466E+03,1.852575E-01,1.881356E+03,1.287463E+03,1.104775E-01,3.436571E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.617090E+02,1.171892E-01,1.197309E+03,8.401116E+02,1.768925E-01,5.615774E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.115466E+03,1.796759E-01,1.819159E+03,1.221840E+03,1.104775E-01,3.436571E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.617090E+02,1.295454E-01,1.334997E+03,9.837979E+02
01:30:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.482766E+03,2.877465E-01,2.953516E+03,2.376997E+03,1.805701E-01,5.685585E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.124033E+03,1.833132E-01,1.851124E+03,1.255844E+03,1.104689E-01,3.436409E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.667906E+02,1.158320E-01,1.177104E+03,8.190569E+02,1.768765E-01,5.615469E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.124033E+03,1.778446E-01,1.790186E+03,1.191512E+03,1.104689E-01,3.436409E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.667906E+02,1.277727E-01,1.310163E+03,9.579970E+02
01:45:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.494066E+03,2.869590E-01,2.933440E+03,2.356221E+03,1.805722E-01,5.685625E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.132599E+03,1.814506E-01,1.821802E+03,1.225179E+03,1.104701E-01,3.436431E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.718722E+02,1.145265E-01,1.157475E+03,7.986008E+02,1.768785E-01,5.615509E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.132599E+03,1.760958E-01,1.762133E+03,1.162150E+03,1.104701E-01,3.436431E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.718722E+02,1.260779E-01,1.286195E+03,9.330900E+02
02:00:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.505366E+03,2.861916E-01,2.913589E+03,2.335678E+03,1.805742E-01,5.685663E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.141165E+03,1.796554E-01,1.793233E+03,1.195295E+03,1.104712E-01,3.436453E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.769538E+02,1.132657E-01,1.138345E+03,7.786604E+02,1.768806E-01,5.615548E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.141165E+03,1.744142E-01,1.734828E+03,1.133568E+03,1.104712E-01,3.436453E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.769538E+02,1.244516E-01,1.262992E+03,9.089707E+02
02:15:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.513841E+03,2.854434E-01,2.896777E+03,2.318231E+03,1.805762E-01,5.685702E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.147590E+03,1.779424E-01,1.767719E+03,1.168560E+03,1.104724E-01,3.436474E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.807650E+02,1.120586E-01,1.121082E+03,7.606406E+02,1.768826E-01,5.615587E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.147590E+03,1.728137E-01,1.710569E+03,1.108125E+03,1.104724E-01,3.436474E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.807650E+02,1.229002E-01,1.241892E+03,8.870133E+02
02:30:00,7.598334E-02,4.420811E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.522316E+03,2.847139E-01,2.880174E+03,2.301005E+03,1.805782E-01,5.685739E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.154014E+03,1.763107E-01,1.743112E+03,1.142789E+03,1.104735E-01,3.436495E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.845762E+02,1.109046E-01,1.104412E+03,7.432455E+02,1.768846E-01,5.615624E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.154014E+03,1.712937E-01,1.687207E+03,1.083638E+03,1.104735E-01,3.436495E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.845762E+02,1.214208E-01,1.221597E+03,8.658947E+02
